path,line,column,severity,rule,classification,message
alpha/apps/kaltura/lib/Services_JSON.class.php,230,46,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf8{0}
alpha/apps/kaltura/lib/Services_JSON.class.php,231,45,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf8{1}
alpha/apps/kaltura/lib/Services_JSON.class.php,236,46,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf8{0}
alpha/apps/kaltura/lib/Services_JSON.class.php,237,46,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf8{1}
alpha/apps/kaltura/lib/Services_JSON.class.php,238,46,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf8{1}
alpha/apps/kaltura/lib/Services_JSON.class.php,239,45,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $utf8{2}
alpha/apps/kaltura/lib/Services_JSON.class.php,284,42,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,307,48,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,312,43,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,318,68,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 1}
alpha/apps/kaltura/lib/Services_JSON.class.php,328,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 1}
alpha/apps/kaltura/lib/Services_JSON.class.php,329,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 2}
alpha/apps/kaltura/lib/Services_JSON.class.php,339,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 1}
alpha/apps/kaltura/lib/Services_JSON.class.php,340,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 2}
alpha/apps/kaltura/lib/Services_JSON.class.php,341,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 3}
alpha/apps/kaltura/lib/Services_JSON.class.php,351,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 1}
alpha/apps/kaltura/lib/Services_JSON.class.php,352,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 2}
alpha/apps/kaltura/lib/Services_JSON.class.php,353,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 3}
alpha/apps/kaltura/lib/Services_JSON.class.php,354,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 4}
alpha/apps/kaltura/lib/Services_JSON.class.php,364,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 1}
alpha/apps/kaltura/lib/Services_JSON.class.php,365,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 2}
